GENERAL CONCEPT (GOAL),STRATEGIES,ADAPT TYPE,SOUTHEAST COASTAL CLIMATE HAZARDS,SOUTHWEST CLIMATE HAZARDS,CULTURAL RESOURCE IMPACTS FROM CLIMATE HAZARD(S),ENVIRONMENTAL SETTING / CONTEXT (MACRO-SCALE),ARCHEOLOGY SUBTYPES,CULTURAL LANDSCAPES SUBTYPES,MUSEUM COLLECTIONS SUBTYPES,HISTORIC STRUCTURES SUBTYPE,FEASIBILITY ,NOTE(S),LONGEVITY ,NOTE(S),BEST PRACTICE GUIDANCE,HISTORIC RESOURCE CONSIDERATIONS,(if applicable/known)           TRIBAL CONSIDERATIONS             ,CASE STUDY REFERENCE,EFFECTIVENESS ,NOTE(S),CITATION - NAME,CITATION - LINK,PG #
Rehabilitate historic constructed water features,Rehabilitate historic canals to mitigate flooding,ACCLIMATE (intrinsic),"Inundation, Increased Storm Surge frequency & severity, Tidal Flooding, Flooding (precipitation)",Flash Flooding,,"SE - Coastal, SW - Mountain, SE - Inland",,built features,,,,Depends on how intact historic feature is and availability of materials and labor to rehabilitate,MID to LONG,Dependent on severity of storms and flooding,Consider if living communities are a part of healthy canal system and work with ecologists to undertake restoration of those as needed.,Consult with historic resource specialists and employ experts in the historic material to rehabilitate with like materials and methods,,"Chong Nonsi Canal Park, Bangkok",,,Climate Action Working Group - Climate Change Adaptation; 2024 WORKS with Nature: Low Carbon Adaptation Techniques for a Changing World,,"9, 96"
Apply flame retardant,,PROTECT (extrinsic),Increased Wildfire,"Increased Wildfire Impacts (Size, Speed, Frequency, Damage)",,"SE - Inland, SW - Desert, SW - Mountain",Surface,built features,,building,,,,,,,,,,,,,
Limit access of pests to collections,"Tighten building envelope; place vulnerable collections inside of tightly closed storage equipment & display cases, and/or within tight housings; replace organic mulch with stones or inorganic mulch around collection buidings and maintain free of leaf litter and other debris.",PROTECT (extrinsic),Biological community changes,Biological community changes,"Deterioration, Destruction","SE - Inland, SE - Coastal, SW - Desert, SW - Mountain",,,"Paper, Textiles, Furniture, Natural science, Indigenous, Stored, Exhibited, Records",,LOW to MED,increased pests to collections not previously noted,,,,,,,,,,,
Identify species applicability,Review latest research to choose species approprite to region based on climate projections.,ACCLIMATE (intrinsic),"Increased average temperature, Higher relative humidity, Intensified Wind, Biological community changes, Flooding (precipitation)",Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"vegetation, ecological and natural systems",,(immediate) site,,Will vary based on research available relevant to site.,,Depends on how accurate climate projections end up being.,Refer to local planting guidance with regards to best species for climate change predictions in area.,"If replacing a historic specimen, consider the form and appearance when selecting a more adapted replacement.",,"Su et al., 2022",,,2024 Landscape Architecture Solutions to Extreme Heat,,19
Reduce water damage to collections exhibited outside of buildings,improve stormwater management,PROTECT (extrinsic),"Flooding (precipitation), Inundation",Flash Flooding,"Saturation, Deterioration, Dissolution, Destruction","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,Exhibited,,MED,,,,,,,,,,2024 Smithsonian Climate Change Action Plan 2024-2027,,29
Reduce water damage to collections,"design exhibits to facilitate relocation of collections: replace important (unique, valuable, etc.) museum objects with replicas in exhibit spaces such as furnished interiors where context must be maintained for interpretive purposes; install pulley systems to elevate heavy or bulky objects and exhibit furniture above predicted flood waters",PROTECT (extrinsic),"Flooding (precipitation), Inundation",,"Inundation, Saturation, Deterioration, Dissolution, Destruction, Dissruption","SE - Coastal, SE - Inland",,,Exhibited,,LOW to MED,,,,,,,,,,2021 Guidelines on Flood Adaptation for Rehabilitating Historic Buildings,2021 Guidelines on Flood Adaptation for Rehbilitating Historic Buildings,134
Dry floodproofing,Seal building envelope below flood level; apply waterproof coatings; install flood shields and backflow preventers; reinforce walls.,ACCLIMATE (intrinsic),"Flooding (precipitation), Tidal Flooding",,"Inundation, Saturation, Deterioration, Submersion, Erosion",SE - Coastal,"Surface, Subsurface",,"Stored, Exhibited, Records","building, material",MED,,MID,,Assess structural integrity; apply vapor-impermeable coatings cautiously; maintain and monitor systems; limit use to below-grade areas if possible.,Minimize visual and material impact; avoid non-compatible coatings.,,"Hoboken, NJ; Ellicott City, MD; Burnham Memorial Hall, VT",AVE,,2021 Guidelines on Flood Adaptation for Rehabilitating Historic Buildings,2021 Guidelines on Flood Adaptation for Rehbilitating Historic Buildings,45–54
Create circular water systems (this one is more drought-focused so can eliminate if not a good fit),Use treated greywater and blackwater for irrigation and other purposes to increase drought resilience.,,,,,,,"built features, land use, vegetation",,,,Consider what uses (if any) would be safe for grey and blackwater application,,,,,,,,,2023 Climate Positive Design Carbon Drawdown Toolkit,,14
Abandon First Story,"Convert the lowest floor of multi-story buildings into unoccupied space (e.g., storage or parking), floodproofed with either wet or dry methods., Convert the lowest floor of multi-story buildings into unoccupied space (e.g., storage or parking), floodproofed with either wet or dry methods.",ABANDON (leave),"Flooding (precipitation), Tidal Flooding, Inundation",,,SE - Coastal,Surface,,"Stored, Exhibited, Records","operations + occupancy, building, material",LOW,,LONG,,"Maintain exterior character, use flood-damage-resistant materials, document interiors prior to conversion, retain traditional access paths.","Avoid modifying primary facades; preserve or reuse historic materials; ensure compatibility of new openings and secondary egress.
Lower level storage should not be used for collections or collections-related materials.",,"Texas retauk-to parking conversion; Alexandria, VA, Green Furniture Factory",AVE,,2021 Guidelines on Flood Adaptation for Rehabilitating Historic Buildings,2021 Guidelines on Flood Adaptation for Rehbilitating Historic Buildings,107–112
Ensure that collections records and information  are protected and available to stewards that need them,upgrade collections databases and data storage systems; expand networking infrastructured to ensure that information is available to appropriate stewards,TEND / TELL (aphysical),"Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Increased Wildfire","Landslides, Flash Flooding, Increased Wildfire, Biological community changes","Dissruption, Deterioration, Destruction","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,MED to HIGH,,,,,,,,,,"Museums for Climate Action Toolbox, espewcially section e",https://www.museumsforclimateaction.org/mobilise/toolbox/coping-with-change-climate-adaptation-and-resilience,7
